Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	457.64	766.43	0.6638	21.8005	17.6989	0.8746	1	6.8745	3.9704	46.5089	26.2201	0.8501	1	10.3144	5.8793	0.4688	0.5564	0.4843	0.0819	1.4876	0.2818	0.2406	0.1876	-0.1693	1.0231	0.2355	0.1443	0.1284	-0.1142	0.548	0.128	0.3925	0.3508	-0.1693	1.4876	0.3027	0.3452	0.3268	-0.3178	1.8491	0.2622	0.3105	0.2843	-0.2453	1.8448	0.2487	0.2859	0.2732	-0.235	0.7056	0.1852	0.3272	0.3121	-0.3178	1.8491	0.2552
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	569.2	767.55	0.6238	19.2747	17.7336	0.7702	1	7.4828	3.4495	43.3607	26.5999	0.7701	1	11.2239	5.1724	0.4445	1.1416	1.1148	0.446	2.1399	0.4223	0.5158	0.4657	0.1114	1.3279	0.26	0.4106	0.361	0.1114	1.0041	0.1897	0.8002	0.6917	0.1114	2.1399	0.4636	0.7006	0.5355	-0.3823	2.2522	0.5816	0.3517	0.286	0.001	1.8202	0.2889	0.2564	0.2602	0.0015	0.6057	0.1368	0.5103	0.3517	-0.3823	2.2522	0.4779
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	431.19	770	0.5562	30.6643	23.4097	0.7032	1	10.1962	3.8969	58.8748	34.0991	0.6363	0.9903	15.2513	5.0981	0.5209	0.9652	0.6852	-0.0084	3.9943	0.8867	0.6049	0.3257	-0.0371	4.5717	0.861	0.7149	0.3595	-0.0371	4.5717	1.0075	0.7912	0.5165	-0.0371	4.5717	0.891	0.2935	0.2553	-0.7928	1.9931	0.4564	0.2305	0.2232	-2.3168	2.3124	0.5255	0.1448	0.2328	-2.3168	0.9947	0.4952	0.2631	0.2307	-2.3168	2.3124	0.491
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	437.75	770.69	0.658	30.7409	22.662	0.7522	0.9831	9.2824	4.155	70.0152	33.8988	0.7657	1	13.9236	6.2323	0.4391	1.0603	0.955	0.0812	4.0016	0.6764	0.1858	0.1758	-0.0605	0.7403	0.1528	0.1333	0.1044	-0.0532	0.6226	0.1336	0.5579	0.3464	-0.0605	4.0016	0.6283	0.3919	0.3152	-0.7871	1.8498	0.4358	0.1512	0.1508	-0.0866	0.497	0.0951	0.1498	0.1483	-0.0462	0.4153	0.0941	0.2536	0.1884	-0.7871	1.8498	0.3159
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	459.62	773.58	0.6628	24.1179	18.2012	0.9148	1	6.6579	4.6582	45.3439	25.87	0.8514	0.9771	9.7729	6.4054	0.532	0.5982	0.577	0.1858	1.3609	0.2142	0.2427	0.1806	-0.0544	1.1111	0.244	0.2468	0.1425	-0.0544	1.1111	0.2838	0.434	0.4454	-0.0544	1.3609	0.289	0.39	0.349	0.0221	1.5463	0.2363	0.1993	0.1854	-0.0464	0.7973	0.1545	0.2349	0.1855	-0.0298	1.5463	0.2537	0.3019	0.2557	-0.0464	1.5463	0.2235
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	519.92	774.37	0.527	16.9199	15.3401	0.9035	1	5.3071	4.0931	38.076	23.0129	0.9035	1	7.9627	6.1393	0.4444	1.2337	1.0907	-0.09	4.649	0.944	0.5912	0.4293	-0.0303	3.767	0.627	0.5743	0.3033	-0.0228	3.767	0.7819	0.8702	0.6617	-0.09	4.649	0.8408	0.4083	0.331	-2.5953	2.6464	0.7692	0.3295	0.2993	-1.3659	1.9909	0.3567	0.2303	0.2641	-1.3659	0.83	0.3174	0.3637	0.3097	-2.5953	2.6464	0.5726
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	453	774.76	0.5611	17.0803	16.0711	0.831	1	6.6287	3.5779	38.4406	24.1125	0.8308	1	9.9463	5.366	0.4443	0.9595	0.7905	0.0972	3.6579	0.5919	0.1508	0.1383	-0.0773	0.624	0.1539	0.0707	0.0808	-0.0773	0.232	0.0888	0.5056	0.3358	-0.0773	3.6579	0.5725	0.4846	0.3841	-0.4018	2.1561	0.4841	0.3146	0.2736	0.0147	0.9267	0.1602	0.2817	0.2407	0.0147	0.5731	0.1465	0.3892	0.3181	-0.4018	2.1561	0.3513
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	559.18	775.9	0.6562	18.7434	16.7653	0.838	1	6.6315	3.8248	42.1716	25.1465	0.8381	1	9.9474	5.7363	0.4445	1.4301	1.3065	0.3123	4.6227	0.865	0.5153	0.4212	-0.0243	1.8946	0.4075	0.4234	0.319	-0.0243	1.8946	0.3749	0.9346	0.6887	-0.0243	4.6227	0.7994	0.5966	0.3987	-2.3329	2.3791	0.8345	0.3018	0.32	-0.6345	0.9374	0.225	0.2778	0.3104	-0.6345	0.6971	0.2063	0.4369	0.3342	-2.3329	2.3791	0.6049
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	464.69	776.36	0.5203	19.2238	18.1812	0.7308	0.9731	7.7453	3.7957	37.5854	25.5742	0.7221	0.9652	10.98	5.382	0.5114	0.6752	0.6291	0.1276	2.5204	0.3422	0.1994	0.1033	-0.1541	1.3382	0.2993	0.2614	0.0822	-0.1541	2.5204	0.514	0.4468	0.4649	-0.1541	2.5204	0.4001	0.4032	0.3769	-0.3957	2.3418	0.3238	0.3812	0.3769	0.0184	0.7816	0.169	0.4468	0.4082	-0.3861	2.3418	0.3946	0.3926	0.3769	-0.3957	2.3418	0.2606
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	433.59	784.14	0.7268	37.9795	23.1685	0.8891	1	8.8974	5.4791	73.4131	32.2989	0.8843	0.9812	11.969	8.2162	0.5173	0.537	0.5234	-0.0341	2.3323	0.2961	0.2199	0.1782	-0.0502	1.9131	0.2492	0.2449	0.1439	-0.0502	2.3323	0.3979	0.3822	0.3011	-0.0502	2.3323	0.3164	0.3184	0.3059	-0.0871	1.0869	0.184	0.3119	0.3157	-0.3367	1.0405	0.1546	0.2942	0.3033	-0.333	1.0405	0.1791	0.3153	0.3127	-0.3367	1.0869	0.1701
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	451.44	788.38	0.7093	18.908	15.9066	0.9391	1	5.5389	4.645	40.7054	23.6285	0.9162	0.992	8.3113	6.7088	0.4646	1.2038	1.0408	0	4.4912	0.8734	0.2036	0.0925	-0.1185	2.4668	0.3379	0.1449	0.0864	-0.0349	0.6172	0.1775	0.6695	0.4652	-0.1185	4.4912	0.8148	0.4074	0.3277	-1.9588	2.0407	0.6596	0.2107	0.1759	-0.9869	1.1266	0.2516	0.2067	0.1858	0	0.5727	0.17	0.3023	0.2137	-1.9588	2.0407	0.4945
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	457.36	788.61	0.5875	12.3232	13.3971	0.8628	1	5.1083	3.125	27.3899	19.9544	0.8644	1	7.659	4.6871	0.4498	1.279	1.0188	-0.06	4.3581	1.1777	0.159	0.0885	-0.0719	1.4654	0.2429	0.1132	0.0742	-0.0719	0.5784	0.1515	0.6843	0.2298	-0.0719	4.3581	0.9951	0.1368	0.1887	-1.7938	1.5134	0.634	0.1122	0.1188	-0.137	0.6158	0.1141	0.1035	0.1107	-0.0804	0.337	0.0906	0.1237	0.1365	-1.7938	1.5134	0.4401
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	461.72	789.87	0.6085	13.5113	14.8187	0.7732	1	5.8503	3.0754	30.4011	22.2314	0.773	1	8.7779	4.6121	0.4444	1.1281	0.8721	0.0381	4.4124	1.0237	0.3115	0.0992	-0.1603	2.9688	0.5651	0.1231	0.0466	-0.1603	0.7861	0.2058	0.6826	0.3423	-0.1603	4.4124	0.9007	0.3525	0.2453	-1.9917	2.355	0.7939	0.1752	0.1127	-0.8568	0.8755	0.247	0.1449	0.0978	-0.0509	0.4655	0.1586	0.2558	0.2064	-1.9917	2.355	0.5697
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	568.51	790.48	0.5636	24.2901	20.6877	0.7132	1	9.0898	3.7633	54.647	31.0336	0.713	1	13.6381	5.6459	0.4445	0.9994	0.958	0.0845	2.4671	0.4339	0.4365	0.4082	-0.0147	1.1784	0.2485	0.3976	0.3994	-0.0147	0.8056	0.1949	0.6858	0.598	-0.0147	2.4671	0.4424	0.4294	0.2978	-0.1777	2.1296	0.4077	0.2922	0.292	-0.0378	0.635	0.1361	0.2835	0.2631	0.0336	0.631	0.1328	0.3529	0.2935	-0.1777	2.1296	0.2969
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	435.07	791.31	0.5544	18.3562	18.3526	0.6849	0.9198	7.0032	3.959	28.1995	22.3508	0.7094	0.9523	8.0709	5.8999	0.6509	0.9078	0.6991	-0.0627	3.7648	0.8648	0.417	0.1849	-0.0205	4.5768	0.8284	0.4798	0.1734	-0.0205	4.5768	0.9725	0.7533	0.4518	-0.0627	4.5768	0.8799	0.372	0.2917	-1.5299	2.0703	0.5973	0.1297	0.1758	-2.6254	0.759	0.5134	0.1543	0.2476	-2.6254	0.759	0.5194	0.2957	0.258	-2.6254	2.0703	0.581
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	451.13	794.87	0.7681	17.8799	15.5285	0.9318	1	5.2813	4.6706	39.4341	23.0876	0.9297	1	7.8823	6.6004	0.4534	1.105	0.8861	-0.0294	4.4064	0.8594	0.1461	0.0736	-0.0578	1.6446	0.2421	0.0713	0.0522	-0.0578	0.3835	0.1027	0.5803	0.2445	-0.0578	4.4064	0.7701	0.3354	0.2454	-1.9942	2.244	0.6252	0.1613	0.1643	-0.0329	0.5329	0.1336	0.1665	0.1599	-0.0329	0.5329	0.1507	0.2401	0.1699	-1.9942	2.244	0.4392
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	430.88	795.64	0.7352	29.9437	21.868	0.7869	0.9843	8.8711	4.5078	51.3216	28.8892	0.7728	0.9748	11.9176	6.0369	0.5834	0.885	0.834	-0.0619	3.4995	0.6416	0.1937	0.1149	-0.371	2.2822	0.3217	0.2707	0.1284	-0.371	2.2822	0.4409	0.5944	0.3793	-0.371	3.4995	0.6309	0.4295	0.3737	-0.9315	2.3992	0.5866	0.3347	0.3245	-0.1913	2.8	0.3012	0.2841	0.301	-0.2935	2.8	0.4108	0.3896	0.3339	-0.9315	2.8	0.4887
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	470.72	796.95	0.5079	24.7644	22.8171	0.5977	0.9538	9.879	3.104	58.4178	34.1582	0.6292	1	14.8186	4.6564	0.4239	0.4803	0.152	-0.0691	4.4747	0.8547	0.1878	0.0126	-0.206	3.7168	0.5106	0.0509	0	-0.206	1.6119	0.2446	0.3144	0.0551	-0.206	4.4747	0.6949	0.223	0.2365	-2.2765	2.5092	0.6144	0.2661	0.2269	-0.5697	1.3689	0.3022	0.3442	0.2951	-0.0129	1.0731	0.2683	0.2474	0.2311	-2.2765	2.5092	0.4632
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	513.85	797.33	0.5496	22.1205	19.4097	0.7378	1	8.3226	3.6558	49.7762	29.1124	0.738	1	12.4815	5.4845	0.4444	1.2399	0.9749	-0.0446	4.4806	0.9895	0.2923	0.2431	-0.0486	1.4333	0.2571	0.2351	0.2321	-0.0286	0.6217	0.1453	0.7018	0.3937	-0.0486	4.4806	0.8241	0.2648	0.2192	-2.0814	2.5315	0.6484	0.279	0.2485	-0.0241	2.3437	0.2329	0.3048	0.2468	-0.0241	2.3437	0.3277	0.2729	0.2425	-2.0814	2.5315	0.4596
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	435.38	798.43	0.5613	16.5082	17.9614	0.643	0.8411	6.3578	3.7281	30.8015	24.4693	0.6465	0.8639	8.6569	5.3257	0.536	0.8859	0.6425	-0.0914	4.2192	0.817	0.4687	0.2882	0.003	1.9404	0.4358	0.2489	0.2329	-0.0914	0.7643	0.1807	0.6871	0.4525	-0.0914	4.2192	0.6931	0.3376	0.3433	-1.4013	2.4483	0.5427	0.2669	0.3044	-0.6162	0.9352	0.2233	0.2992	0.3154	-0.1021	0.5179	0.128	0.3039	0.3184	-1.4013	2.4483	0.4218
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	561.12	806.84	0.5041	21.0436	19.7585	0.6774	1	8.7943	3.2486	47.3576	29.6403	0.6774	1	13.1925	4.8732	0.4444	1.1531	1.1041	-0.0467	3.2525	0.5973	0.3878	0.3338	-0.0582	1.496	0.307	0.2565	0.2523	-0.0582	0.8409	0.1881	0.7261	0.5815	-0.0582	3.2525	0.5952	0.5341	0.3795	-1.318	2.3658	0.6518	0.2664	0.2177	-0.3982	0.9844	0.2102	0.2353	0.1856	0.0111	0.7823	0.1576	0.3848	0.2729	-1.318	2.3658	0.4784
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	436.04	809.37	0.7073	18.7062	16.0669	0.9106	1	5.7722	4.2456	42.0757	24.0966	0.9106	1	8.6574	6.366	0.4446	0.8659	0.7765	-0.0228	3.3295	0.6594	0.1013	0.0684	-0.067	0.6194	0.1211	0.0963	0.0855	-0.067	0.3161	0.0899	0.4251	0.1887	-0.067	3.3295	0.5785	0.4419	0.2978	-1.3233	2.2881	0.5795	0.1523	0.122	-0.0849	0.6607	0.1538	0.1578	0.1471	-0.0254	0.4983	0.1362	0.2749	0.1734	-1.3233	2.2881	0.4187
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	591.95	812.41	0.567	39.3569	25.8062	0.7426	0.9615	10.3444	5.2892	92.0836	38.4809	0.7815	1	15.5166	7.9326	0.4274	0.8991	0.899	0.098	1.795	0.3069	0.5688	0.4751	0	2.7937	0.412	0.6077	0.4403	0	2.7937	0.5675	0.7094	0.6707	0	2.7937	0.4049	0.2752	0.2119	-0.2251	2.0997	0.317	0.2335	0.2193	-1.0852	1.1804	0.2856	0.1592	0.183	-1.0852	0.7967	0.3275	0.2513	0.2167	-1.0852	2.0997	0.2997
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	453.23	814.79	0.8132	23.4486	17.7302	0.9373	1	6.1296	5.1087	52.7475	26.5934	0.9373	1	9.1953	7.6596	0.4445	1.2185	1.0443	-0.1141	4.735	1.0087	0.0794	0.0451	-0.1277	0.8072	0.1529	0.0418	0.0272	-0.0706	0.3256	0.0777	0.5928	0.1544	-0.1277	4.735	0.8896	0.4544	0.3677	-2.4498	2.5435	0.9	0.2726	0.2757	-0.0091	0.586	0.1544	0.2649	0.2757	-0.0073	0.5612	0.1609	0.3546	0.3032	-2.4498	2.5435	0.6199
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	508.06	817.45	0.5921	55.8055	30.764	0.741	0.9981	12.9534	5.437	124.4361	45.6913	0.749	1	18.8478	8.1564	0.4485	0.8543	0.6446	-0.1913	4.7098	0.6462	0.6892	0.3372	-0.1124	4.9784	0.8708	0.3525	0.2086	-0.1124	3.8275	0.5166	0.763	0.5331	-0.1913	4.9784	0.7821	0.3965	0.311	-2.2199	2.657	0.578	0.2982	0.3184	-2.3181	2.282	0.4808	0.2862	0.2795	-0.3311	1.4526	0.2329	0.3422	0.3156	-2.3181	2.657	0.5282
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	452.14	826.06	0.6232	24.4181	22.0181	0.6329	0.9642	9.7386	3.3386	56.8086	32.8432	0.6618	1	14.5689	5.0069	0.4298	0.8762	0.6672	0.1512	2.7384	0.5732	0.2381	0.1981	-0.0794	1.206	0.2368	0.1372	0.1141	-0.0794	1.0296	0.1825	0.512	0.3385	-0.0794	2.7384	0.5218	0.3802	0.2898	-0.508	1.9462	0.5017	0.2441	0.2173	-0.0599	0.6377	0.1581	0.2486	0.2173	-0.0599	0.6377	0.1778	0.3025	0.2511	-0.508	1.9462	0.3552
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	424.53	828.75	0.5689	14.4624	14.92	0.8164	1	5.9223	3.3213	32.5599	22.3841	0.8166	1	8.8859	4.9846	0.4442	0.8467	0.769	-0.068	4.4352	0.9141	0.1363	0.0301	-0.0699	2.0634	0.2905	0.0501	0.014	-0.0459	0.307	0.0917	0.4562	0.1465	-0.0699	4.4352	0.738	0.2964	0.2325	-2.1003	1.7273	0.5844	0.2411	0.2391	-0.2563	0.61	0.132	0.2543	0.2384	0.0257	0.61	0.1139	0.266	0.2384	-2.1003	1.7273	0.4033
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	456.71	833.29	0.6021	22.515	21.4993	0.6121	0.9763	9.6645	3.0706	51.9002	32.1883	0.6295	1	14.499	4.608	0.4338	1.1015	0.7064	-0.1121	4.0743	1.1268	0.1037	0.0584	-0.2339	2.6711	0.291	0.033	0.0452	-0.2339	0.2763	0.1188	0.5424	0.1702	-0.2339	4.0743	0.9211	0.2786	0.2214	-1.793	2.2228	0.6516	0.3198	0.3242	-1.0439	1.1706	0.275	0.3852	0.3251	-0.0487	1.1706	0.2738	0.3017	0.2852	-1.793	2.2228	0.4776
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	482.69	840.1	0.5297	35.6559	26.7414	0.6266	0.9667	11.8038	3.938	82.9912	40.0703	0.6495	1	17.7057	5.9075	0.4296	0.8181	0.7204	-0.0317	3.7247	0.5846	0.2856	0.159	-0.176	1.6104	0.3673	0.1178	0.0515	-0.176	0.9299	0.2061	0.5118	0.424	-0.176	3.7247	0.5399	0.5456	0.3788	-1.0406	2.4002	0.5693	0.3239	0.3297	-0.2151	1.9188	0.267	0.3208	0.3337	-0.0844	0.6615	0.2198	0.4181	0.3436	-1.0406	2.4002	0.436
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	558.66	840.84	0.56	22.3669	19.715	0.7231	1	8.5394	3.5715	50.3195	29.5698	0.7232	1	12.8059	5.3549	0.4445	0.9308	0.8531	0.289	2.8229	0.4024	0.5932	0.4752	0.0052	3.1996	0.4863	0.5548	0.3941	0.0052	3.1996	0.6103	0.7469	0.657	0.0052	3.1996	0.4795	0.4824	0.3657	-0.5456	2.2341	0.4654	0.2993	0.3048	-1.169	0.9487	0.2605	0.2586	0.3031	-1.169	0.7809	0.3127	0.3827	0.3198	-1.169	2.2341	0.3785
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	550.1	843.89	0.6095	45.7684	24.8273	0.9331	1	8.7024	7.4063	101.1589	37.1768	0.9198	0.9925	13.0543	11.1121	0.4525	0.8397	0.8095	0.2135	3.0621	0.3695	0.5622	0.4157	-0.0444	3.8349	0.5615	0.3623	0.3561	-0.0332	1.3412	0.2823	0.6861	0.5783	-0.0444	3.8349	0.504	0.3969	0.3159	-1.3191	2.2134	0.4027	0.317	0.2849	-1.5762	2.1056	0.3143	0.2679	0.2553	0.0171	0.9436	0.1557	0.3527	0.2947	-1.5762	2.2134	0.3583
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	467.33	844.71	0.683	20.444	18.3862	0.76	0.9871	7.4384	3.8149	46.6183	27.5693	0.7708	1	11.1558	5.7243	0.4385	1.0371	0.8195	-0.0758	4.2843	0.876	0.1966	0.1299	-0.1328	3.1221	0.3783	0.1156	0.0882	-0.1328	0.7784	0.1778	0.6098	0.3138	-0.1328	4.2843	0.7906	0.4771	0.3825	-1.9887	2.3252	0.7288	0.3119	0.285	-1.5904	0.7819	0.2867	0.3338	0.2959	-0.0418	0.7819	0.2056	0.3931	0.3345	-1.9887	2.3252	0.555
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	504.43	848.28	0.5331	87.2532	42.3518	0.6113	0.9582	18.6829	5.8268	188.8646	58.7281	0.6881	1	24.4781	8.7409	0.462	0.8449	0.3962	-0.1616	4.5758	0.933	0.7464	0.4706	-0.0862	4.4555	0.7927	1.0119	0.6632	-0.0585	4.4555	0.9856	0.7924	0.4354	-0.1616	4.5758	0.8619	0.2655	0.3247	-2.5998	2.452	0.508	0.3184	0.3024	-1.907	2.4907	0.447	0.2396	0.3121	-1.907	1.5425	0.4578	0.2937	0.3129	-2.5998	2.4907	0.4769
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	544.85	850.75	0.5591	13.8171	13.9943	0.8866	1	5.2389	3.72	30.9207	20.9147	0.8883	1	7.7816	5.58	0.4467	1.2693	1.1414	0.1027	3.7565	0.811	0.4997	0.3936	-0.0535	1.8289	0.3992	0.4836	0.351	-0.0535	1.5025	0.4255	0.8593	0.6829	-0.0535	3.7565	0.7331	0.3946	0.3886	-0.3704	1.5606	0.4196	0.2639	0.2667	-0.0101	0.6407	0.1557	0.2207	0.1875	-0.0101	0.6136	0.1656	0.3249	0.2939	-0.3704	1.5606	0.314
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	437.81	852.08	0.7354	20.9811	17.1003	0.9016	1	6.5052	4.3247	47.2091	25.6494	0.9017	1	9.7578	6.4885	0.4444	1.0808	1.0302	-0.2986	4.4749	0.8337	0.1864	0.1276	-0.1952	0.91	0.2256	0.0821	0.0586	-0.0603	0.4256	0.0979	0.5861	0.2905	-0.2986	4.4749	0.7317	0.3713	0.3234	-2.1367	2.695	0.6357	0.2163	0.1865	-0.33	0.7222	0.2125	0.2217	0.1713	-0.0264	0.7222	0.2046	0.2855	0.2477	-2.1367	2.695	0.4584
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	444.04	855.32	0.7053	33.7385	25.7283	0.6405	0.9702	11.3143	3.9938	76.1016	37.6167	0.6758	1	16.7434	5.9898	0.4434	1.1503	0.8965	-0.0604	4.5022	1.031	0.1065	0.0528	-0.1026	1.0154	0.1782	0.0341	0.0254	-0.1026	0.2054	0.0642	0.5681	0.1593	-0.1026	4.5022	0.8691	0.2935	0.2059	-1.9725	2.3875	0.6993	0.1521	0.1664	-0.155	0.7747	0.1304	0.143	0.1601	-0.0371	0.4817	0.1171	0.2146	0.1687	-1.9725	2.3875	0.4794
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	588.3	856.62	0.5636	76.6411	32.0478	0.9377	1	11.4097	9.1033	172.447	48.0728	0.9377	1	17.1163	13.6568	0.4444	0.6312	0.6128	0.1122	1.66	0.2516	0.7027	0.5865	0.1175	3.8131	0.4138	0.6493	0.5743	0.1175	1.802	0.2995	0.6704	0.5971	0.1122	3.8131	0.3516	0.3832	0.3676	-0.2654	1.2355	0.1849	0.4638	0.3957	-1.5285	2.3596	0.3617	0.505	0.4145	0.0842	1.961	0.3034	0.4274	0.3809	-1.5285	2.3596	0.2979
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	555.43	859.03	0.6793	25.4911	18.7743	0.9088	1	7.0664	4.8558	57.1998	28.0897	0.911	1	10.49	7.2837	0.4457	0.7209	0.7182	0.3928	1.1237	0.1585	0.4414	0.418	0.0948	1.089	0.1655	0.3732	0.3591	0.0948	0.6888	0.1417	0.5657	0.5532	0.0948	1.1237	0.2137	0.3818	0.3741	0.0391	1.309	0.1706	0.3015	0.3021	0.0653	0.6401	0.0949	0.2965	0.29	0.0653	0.5779	0.0959	0.3372	0.3256	0.0391	1.309	0.1395
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	543.76	860.7	0.6295	27.4416	22.3413	0.6909	1	9.5133	3.5818	58.7045	32.17	0.7128	1	13.1754	5.373	0.4674	1.1994	0.9769	-0.2334	3.9537	0.9816	0.3305	0.1766	-0.0475	3.8044	0.5204	0.1496	0.0589	-0.0475	0.9583	0.2124	0.7444	0.5064	-0.2334	3.9537	0.8873	0.4227	0.3234	-0.7866	2.6733	0.6732	0.1706	0.1075	-0.3407	1.4263	0.2704	0.1379	0.1027	-0.1232	1.3989	0.194	0.2907	0.1542	-0.7866	2.6733	0.5186
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	562.86	862	0.6198	28.6631	21.3085	0.7933	1	8.992	4.2937	64.5	31.965	0.7933	1	13.4879	6.4406	0.4444	0.7024	0.6533	0.306	1.3823	0.2101	0.4911	0.4423	0.1034	1.1992	0.2177	0.3741	0.3814	0.1034	0.6237	0.1124	0.5843	0.548	0.1034	1.3823	0.2384	0.4987	0.4342	0.0678	1.9908	0.2763	0.3067	0.2965	-0.0506	0.7815	0.1255	0.3047	0.3058	0.0551	0.6167	0.1011	0.3915	0.3375	-0.0506	1.9908	0.2268
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	435.8	863.78	0.6944	25.5567	20.5725	0.7588	0.9806	8.6469	4.1199	58.2278	30.6151	0.7807	1	12.9737	6.1802	0.4389	0.9849	0.7382	-0.0649	3.7908	0.9112	0.1407	0.0724	-0.0867	1.3477	0.2298	0.0978	0.0662	-0.0616	0.4812	0.1235	0.5098	0.1813	-0.0867	3.7908	0.7528	0.3772	0.2878	-0.7465	2.5299	0.5479	0.2126	0.2034	-0.1494	0.5994	0.1411	0.2178	0.191	-0.0221	0.5994	0.1616	0.2846	0.2159	-0.7465	2.5299	0.3852
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	556.1	868.12	0.5528	14.725	14.3283	0.9013	1	5.2062	3.669	32.5117	21.2593	0.904	1	7.8029	5.5008	0.453	0.8588	0.8328	0.1789	1.573	0.3149	0.4856	0.45	0.0275	1.6014	0.2648	0.4319	0.4301	0.0275	0.8946	0.1913	0.6563	0.6023	0.0275	1.6014	0.3429	0.4594	0.4005	-0.0981	2.3346	0.339	0.3431	0.32	0.1398	1.0936	0.1376	0.3545	0.3402	0.1467	1.0936	0.1498	0.3963	0.3429	-0.0981	2.3346	0.2562
