Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	417.01	94.3	0.74	46.2519	28.5253	0.7143	0.909	9.8914	6.6786	74.1203	36.6855	0.6921	0.9018	13.2335	8.3944	0.624	0.8599	0.6484	0.0257	4.5844	0.7152	0.1645	0.1109	-0.1005	1.3769	0.2295	0.2729	0.2348	-0.1005	1.3445	0.2758	0.5992	0.3848	-0.1005	4.5844	0.6726	0.109	0.168	-2.3845	1.9019	0.5945	0.3265	0.3083	-0.7098	1.0538	0.2265	0.4076	0.3845	-0.2433	1.0538	0.2205	0.1906	0.2648	-2.3845	1.9019	0.5007
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	449.26	96.02	0.6605	56.0746	31.3754	0.7158	1	13.4082	5.1562	123.8237	46.382	0.7233	1	19.3191	7.7323	0.4529	0.2734	0.2427	-0.0899	1.1678	0.2149	0.1331	0.1157	-0.2537	0.7326	0.1319	0.1265	0.0751	-0.1369	0.7326	0.1559	0.1959	0.1683	-0.2537	1.1678	0.1873	0.2236	0.2319	-0.6764	0.8572	0.2095	0.2112	0.1577	-0.3829	1.1684	0.2188	0.1795	0.1018	-0.3829	0.7054	0.2276	0.2168	0.2048	-0.6764	1.1684	0.2146
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	555.11	96.92	0.6906	43.98	28.5478	0.6781	1	12.3531	4.4679	98.4641	42.6205	0.6812	1	18.2548	6.7036	0.4467	1.413	1.2114	0.0276	4.5811	0.9954	0.2196	0.1706	-0.1278	1.3416	0.2342	0.1317	0.1283	-0.1278	0.4923	0.1308	0.7353	0.3693	-0.1278	4.5811	0.899	0.5389	0.4334	-2.1418	2.4629	0.8065	0.3293	0.3253	-0.1445	1.1	0.1358	0.3135	0.323	-0.1445	0.5546	0.1293	0.4199	0.3469	-2.1418	2.4629	0.549
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	439.33	98.66	0.7558	22.5337	17.7745	0.8963	1	6.6411	4.5141	42.1319	24.0754	0.9134	0.981	8.378	6.7711	0.5348	1.1205	0.7985	-0.0519	4.0248	1.0021	0.1085	0.0464	-0.1241	0.7931	0.1764	0.1054	0.0276	-0.1241	0.7931	0.2028	0.6443	0.2832	-0.1241	4.0248	0.8944	0.2702	0.2855	-1.0908	2.3689	0.4812	0.1393	0.0999	-0.1997	0.6643	0.1762	0.2656	0.2785	-0.1997	0.7089	0.2356	0.2086	0.1691	-1.0908	2.3689	0.3752
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	511.47	103.39	0.7914	46.9046	27.4047	0.7848	1	11.4719	5.4323	102.1349	40.0945	0.7984	1	16.1094	8.1477	0.4592	1.1345	1.0107	0.2428	4.6972	0.7082	0.3327	0.2914	-0.0114	1.2622	0.2372	0.2744	0.2466	-0.0061	0.8851	0.2158	0.7127	0.5475	-0.0114	4.6972	0.6537	0.366	0.3808	-2.6003	2.0475	0.583	0.2999	0.3266	-0.2765	1.0469	0.1951	0.2701	0.274	-0.2765	0.7886	0.2399	0.3312	0.3424	-2.6003	2.0475	0.4263
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	486	112.05	0.7618	18.666	15.9939	0.917	1	5.465	4.6151	40.5884	23.5815	0.9172	1	8.1769	6.9252	0.4599	0.7637	0.7736	0.2401	1.2132	0.2209	0.3158	0.249	0.0429	0.996	0.2203	0.2372	0.1875	0.0429	0.7419	0.1658	0.5287	0.5068	0.0429	1.2132	0.3142	0.3888	0.3616	-0.0664	1.0169	0.2078	0.3547	0.3119	0.1177	0.8092	0.1505	0.3548	0.2967	0.1779	0.8092	0.162	0.3709	0.3279	-0.0664	1.0169	0.1803
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	479.8	112.31	0.5963	14.1959	14.0033	0.9097	1	4.9402	3.6363	31.6224	20.9364	0.9066	1	7.4101	5.4553	0.4489	0.7397	0.7442	0.0571	1.5826	0.3601	0.4213	0.2272	0.0457	1.5843	0.4248	0.3852	0.1912	0.0631	1.539	0.4266	0.557	0.4134	0.0457	1.5843	0.4274	0.362	0.3167	0.0859	1.1198	0.192	0.3642	0.3038	0.0903	1.8719	0.2954	0.3808	0.3059	0.1165	1.8719	0.3628	0.3633	0.3107	0.0859	1.8719	0.2555
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	459.94	111.18	0.639	45.2434	28.4441	0.7027	0.983	12.0674	5.2134	81.9562	37.6857	0.7252	0.9617	15.6022	7.7773	0.5521	0.6693	0.5914	0.034	2.7871	0.4306	0.3006	0.1865	-0.076	4.7133	0.4624	0.5164	0.3194	-0.0328	4.7133	0.7074	0.5	0.4014	-0.076	4.7133	0.4814	-0.0523	0.0064	-1.1448	0.438	0.2964	0.1329	0.1834	-2.789	0.5588	0.3094	0.0059	0.1482	-2.789	0.4917	0.461	0.0327	0.0973	-2.789	0.5588	0.3157
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	507.82	114	0.669	22.4819	17.8823	0.8835	1	6.986	4.141	50.5886	26.8229	0.8836	1	10.479	6.2136	0.4444	1.3043	1.1584	0.0661	4.4738	0.8037	0.3471	0.2524	-0.0925	2.7124	0.3697	0.231	0.1984	-0.0925	1.301	0.2391	0.7788	0.5542	-0.0925	4.4738	0.7696	0.4024	0.3324	-2.0274	1.9947	0.5948	0.3024	0.2792	-0.162	1.5531	0.206	0.2852	0.2726	-0.162	1.5531	0.2514	0.3475	0.2888	-2.0274	1.9947	0.4293
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	468.63	121.4	0.8805	102.5439	38.7033	0.8602	1	15.2361	8.6556	196.8333	54.0914	0.8454	0.9882	21.0666	12.0474	0.521	0.561	0.2686	-0.1573	4.9704	0.805	0.2416	0.1496	-0.1074	3.6948	0.3517	0.2698	0.1878	-0.1074	2.4849	0.3692	0.4062	0.1924	-0.1573	4.9704	0.6472	-0.1915	-0.0227	-3.5109	0.7845	0.5677	0.1155	0.1915	-2.6195	0.6616	0.315	0.1079	0.1614	-1.2704	0.5431	0.2704	-0.0427	0.0311	-3.5109	0.7845	0.4873
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	457.71	123.11	0.6611	92.0902	36.0391	0.891	0.9995	14.0604	8.5316	161.4566	49.1526	0.8398	0.986	19.5232	11.5339	0.5704	1.1998	0.9465	-0.0319	5.0204	1.0936	0.2563	0.1547	-0.1146	3.0591	0.3844	0.3518	0.2066	-0.1146	3.9784	0.5309	0.7936	0.4144	-0.1146	5.0204	0.981	-0.5099	-0.2938	-3.648	2.0778	0.7144	0.0896	0.1333	-2.1156	0.6679	0.3049	0.0772	0.1474	-2.1257	0.5225	0.3598	-0.2518	-0.0529	-3.648	2.0778	0.6469
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	489.28	121.98	0.5061	35.0842	25.5936	0.6731	0.838	8.5147	6.5274	75.9532	36.256	0.7261	0.8793	12.0966	9.1457	0.462	0.5221	0.2214	-0.0408	3.7835	0.7385	0.2734	0.2419	0.0143	1.425	0.1817	0.4868	0.2571	0.0349	3.7835	0.7525	0.3871	0.2373	-0.0408	3.7835	0.5307	0.2547	0.2449	-1.1687	1.812	0.3317	0.2999	0.2976	0.0188	0.5967	0.102	0.2258	0.2805	-1.1687	0.9677	0.3211	0.2792	0.2815	-1.1687	1.812	0.2372
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	512.88	125.51	0.5218	28.6481	22.7146	0.6977	0.9776	9.868	3.7037	65.7644	33.9801	0.7157	1	14.8003	5.5571	0.4356	1.311	0.9823	0.1337	4.4007	1.002	0.5138	0.1807	-0.1433	4.9486	0.8033	0.2127	0.0775	-0.1433	1.3172	0.351	0.8564	0.606	-0.1433	4.9486	0.976	0.1525	0.1197	-1.9966	2.1908	0.8042	-0.0357	0	-3.5003	1.0209	0.4899	0.0192	0	-0.4782	0.9794	0.2141	0.0452	0.0131	-3.5003	2.1908	0.6493
