,feat,p,stat
281,wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.0837867270200237,-0.8957747245103458
376,wavelet-HLH_glcm_JointEnergy,0.08526664711614919,1.067250402262665
319,wavelet-HLH_glcm_DifferenceVariance,0.08698379495993579,-1.2508779662077791
424,wavelet-HLH_glszm_LowGrayLevelZoneEmphasis,0.08773826605124942,-0.8193395584035044
326,wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.08819307469059956,0.5739040151159137
166,wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.09195492171019573,0.7654228239788223
257,wavelet-LHL_glcm_SumEntropy,0.09224511311234908,-0.7510612023408733
373,wavelet-HHH_glcm_Idmn,0.09271004736700471,1.4597874053992055
268,wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.09667755235444167,0.6227553371632355
252,wavelet-LLH_glszm_SmallAreaEmphasis,0.099602961368488,-0.8162565427978637
402,wavelet-HHL_gldm_SmallDependenceEmphasis,0.10113489768718639,-0.814230594304213
406,wavelet-HHL_glcm_JointEnergy,0.1024292421686271,0.5840206404909883
56,wavelet-HHL_glszm_ZonePercentage,0.10416020583469918,-0.783057950248027
494,wavelet-LHH_glrlm_ShortRunEmphasis,0.104536831430147,-0.9742251756835538
488,wavelet-LHH_glcm_ClusterProminence,0.10501230232297887,1.2804838970537846
0,wavelet-HHL_glcm_Id,0.10508955837066837,0.7263769787568278
316,wavelet-HHH_glcm_SumEntropy,0.1077493601526302,0.8237264753096625
426,wavelet-HHL_glcm_DifferenceEntropy,0.10931220027387432,-0.6568382712453877
591,wavelet-HLL_glcm_InverseVariance,0.10943158286024161,-0.8100065146806076
199,wavelet-LHH_glrlm_RunPercentage,0.11097703813657024,-0.8531782282429325
379,wavelet-HHL_glcm_Idm,0.11142482551467557,0.7097541210668097
306,wavelet-LLL_glszm_SmallAreaHighGrayLevelEmphasis,0.11254282945189883,-0.74351990221098
300,wavelet-HHH_glszm_ZoneEntropy,0.11415335598853747,-0.792846436578615
532,wavelet-HHL_glcm_JointEntropy,0.11556403539422953,-0.6107242075852943
142,wavelet-LHH_glrlm_RunEntropy,0.11600356276107177,0.6685947506044098
28,wavelet-LHH_glcm_Imc1,0.12144061527787398,0.6011021898641834
323,wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.12284700871982453,-0.7726284771988347
335,wavelet-LHL_glszm_ZonePercentage,0.12553334143959702,-1.0178484373670098
284,wavelet-LLL_glszm_SizeZoneNonUniformity,0.12755132912923645,-0.88691926440442
582,wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.12856445136380742,0.7058930398182317
40,wavelet-HHL_glrlm_ShortRunEmphasis,0.1303253353636777,-0.6362763758731054
464,wavelet-LHH_gldm_DependenceEntropy,0.13082293605248238,0.7075403454542957
155,wavelet-HHL_gldm_DependenceEntropy,0.1372260377209931,-0.6447320896949057
408,wavelet-HHL_glrlm_RunPercentage,0.14023896192710553,-0.6809970358717932
158,wavelet-LHL_gldm_DependenceEntropy,0.14156798801943687,-0.6333989713113541
324,wavelet-HHL_glcm_SumEntropy,0.14190744438340896,-0.6030617433938733
578,wavelet-LHL_glrlm_RunEntropy,0.14532441091748335,-0.9565363420155024
150,wavelet-LLL_glszm_HighGrayLevelZoneEmphasis,0.14559649939482736,-0.7589522406985285
350,wavelet-LHL_gldm_LowGrayLevelEmphasis,0.14563379348951958,0.7021029900591467
293,wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.14762354699118688,0.6974698507874281
318,wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.14787993730934604,0.6549015249461134
346,wavelet-HHL_glrlm_RunLengthNonUniformityNormalized,0.1480082480137621,-0.668112492652803
423,wavelet-HHL_glrlm_GrayLevelVariance,0.14938158474732507,-0.6997540100931141
183,wavelet-HHL_glrlm_RunEntropy,0.1532598620895319,-0.9838336130556733
24,wavelet-LLL_ngtdm_Complexity,0.15517344606803993,-0.715408782003452
30,wavelet-LLH_glszm_SizeZoneNonUniformity,0.15520076884940773,-0.6996061498375107
271,wavelet-HHL_glcm_DifferenceVariance,0.15710781388811668,-0.7195919285083899
222,wavelet-HHL_gldm_LargeDependenceEmphasis,0.158929822776647,0.8004994149979564
96,wavelet-HHL_ngtdm_Complexity,0.15944713055115542,-0.8688141744125919
333,wavelet-HHL_glcm_DifferenceAverage,0.16163550083973466,-0.6608226912049184
43,wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.16198822722818765,0.6298277769812463
109,wavelet-LHH_glcm_JointEnergy,0.16215579379832865,-0.7993185178131935
308,wavelet-HLH_gldm_DependenceEntropy,0.16424542579624218,0.6328832140685711
332,wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.1696488220148215,-0.8150612775927825
270,wavelet-LHL_glszm_ZoneEntropy,0.1745968501353921,-0.6543088139776637
267,wavelet-HLH_gldm_DependenceVariance,0.17600560307363317,0.8138117019537618
286,wavelet-HHL_glcm_MaximumProbability,0.17645004079717153,0.6030599713090902
571,wavelet-HLL_glcm_Imc1,0.176590678193509,-1.009165677032725
154,wavelet-HHL_glcm_Contrast,0.18455664109742026,-0.7307772157731515
17,wavelet-HLH_glcm_MaximumProbability,0.18549725473226394,0.6645342935085199
272,wavelet-HHH_glszm_ZoneVariance,0.18671965278223854,-1.7864800132445466
107,wavelet-LLH_ngtdm_Busyness,0.18804038220695812,-0.7027157300617068
294,wavelet-HHL_glszm_GrayLevelNonUniformity,0.18844819542905172,-0.7889772520536109
13,wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.19120311903091,-0.8132315937806305
296,wavelet-HHL_glcm_Imc1,0.1914901637583507,0.7586555515604175
414,wavelet-HHL_glszm_SmallAreaEmphasis,0.19438986816237105,0.6454539991995951
135,wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.19453302901653696,-0.6271904095558416
559,wavelet-LHL_glcm_Imc1,0.1965682112953323,0.5495365444204197
375,wavelet-LLL_glszm_LargeAreaHighGrayLevelEmphasis,0.1967999343141886,-1.076302184893673
355,wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.19788506844103798,-0.8571910138032781
49,wavelet-LHL_glcm_ClusterProminence,0.19965885361721092,-1.4754063212979163
388,wavelet-HHL_gldm_GrayLevelVariance,0.19993389185363347,-0.6917746057819195
367,wavelet-HLL_gldm_HighGrayLevelEmphasis,0.2002417977834557,-0.8522540194508815
568,wavelet-HLL_glcm_Autocorrelation,0.20062227396878876,-0.8522073151751056
67,wavelet-HHL_glcm_SumSquares,0.2007444480510414,-0.6948861405563275
70,wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.2019034964720815,0.6446607892363354
230,wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.20307376666077584,-0.555691262593848
577,wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.20427823029572154,-0.6800037497772285
369,wavelet-HHL_glcm_MCC,0.20585541012074995,-0.5760005253964963
103,wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.21169039010528448,0.36601234144640865
186,wavelet-LLH_gldm_DependenceNonUniformityNormalized,0.2132401512092148,0.7650874871331483
459,wavelet-LHH_gldm_DependenceVariance,0.2138022464345507,0.8167016208577219
62,wavelet-HHL_glszm_SmallAreaLowGrayLevelEmphasis,0.21645886774298673,0.53663821240969
338,wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.21668554155555703,-0.7310973211620829
88,wavelet-LHH_gldm_SmallDependenceEmphasis,0.22021740652817737,-1.1953480735167192
320,wavelet-HHL_glcm_ClusterTendency,0.22075882415315168,-0.6725189041628165
334,wavelet-HHL_glrlm_RunLengthNonUniformity,0.22441217552701292,-0.6787433776822165
502,wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.22547588054401027,0.7122955551692247
447,wavelet-LLH_glcm_MCC,0.22572847733300985,0.702204230749591
301,wavelet-LHL_glrlm_RunLengthNonUniformity,0.22646845760040718,-0.7499255952141115
251,wavelet-HLL_glrlm_RunLengthNonUniformity,0.23104568101657763,-0.7556055964681554
