,feat,p,stat
217,wavelet-HHH_glcm_JointEnergy,0.16641201353359064,-1.1016468895010907
546,wavelet-LHH_glcm_Imc2,0.1745031988450812,-0.7021445039489527
258,wavelet-HHH_glcm_Idmn,0.17696185818720067,0.6109680268869587
560,wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.17794426077487427,0.5326789801215919
125,wavelet-HHH_ngtdm_Contrast,0.18216556887684157,-0.5668617745495517
49,wavelet-LHH_glszm_ZoneEntropy,0.18267621515198168,0.7434051614895264
116,wavelet-HHH_glcm_Correlation,0.18485989244933834,0.5928169246227654
203,wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.19222000374969772,-0.7213402528878992
220,wavelet-LHH_glcm_MaximumProbability,0.19474463459771135,-0.8743664682639226
544,wavelet-LHH_glcm_Imc1,0.19687917503169922,0.712578227859921
444,wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis,0.19939874248676098,0.981001703922812
328,wavelet-HLL_glcm_ClusterShade,0.2008071722973126,-1.0268112675307688
590,wavelet-HHL_glcm_Correlation,0.20428758230700497,0.6073301543973085
287,wavelet-LHH_glcm_MCC,0.2062706899511898,-0.6244491877767796
519,wavelet-LLL_glrlm_RunLengthNonUniformity,0.20682457144410255,0.5288997217003147
233,wavelet-LLL_glrlm_LowGrayLevelRunEmphasis,0.2093408627270711,-0.6897854515527553
213,wavelet-HHL_gldm_DependenceVariance,0.21116865026391635,-0.4343647126041291
102,wavelet-HHH_glcm_InverseVariance,0.21132189249619523,-0.5785559857294065
422,wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.21134407654493823,0.49540918570298875
5,wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,0.2166790313169492,-0.6660146047609923
523,wavelet-HHH_glszm_SmallAreaEmphasis,0.2184505369533681,0.33310902199486236
267,wavelet-LLL_gldm_LowGrayLevelEmphasis,0.2240717246742149,-0.6977777666455257
502,wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,0.22716408656542805,-0.5607471332577101
52,wavelet-LHH_glszm_GrayLevelNonUniformity,0.2308690620301212,0.4660108638698069
113,wavelet-LLL_glrlm_ShortRunLowGrayLevelEmphasis,0.23156632359720203,-0.5868257327516417
103,wavelet-LHH_glszm_SizeZoneNonUniformity,0.23178776364459647,0.5357062181365968
45,wavelet-HLL_glszm_SizeZoneNonUniformity,0.23353479817076195,0.5633077941143816
575,wavelet-HLH_glszm_GrayLevelNonUniformityNormalized,0.2342421165420176,-0.7385011604406642
84,wavelet-HLH_glszm_GrayLevelNonUniformity,0.2357413764307023,0.3923038138042428
265,wavelet-LHL_glcm_Imc1,0.2401111873864513,0.7436700474175378
79,wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.24544279213290682,0.5294118422210145
522,wavelet-LHL_glcm_Idn,0.2524954100116951,0.49343025857928224
100,wavelet-LLH_glcm_Idn,0.2550790370533862,0.4600734202272335
424,wavelet-HLL_gldm_DependenceEntropy,0.25930460958663637,0.5740777726602525
92,wavelet-LLL_glcm_Idmn,0.26262206141656164,0.4702524265306257
19,wavelet-LHL_glszm_GrayLevelVariance,0.2645564155108051,-0.6774181311940962
483,wavelet-HLH_glcm_SumSquares,0.2671484995065343,-41.23354045509097
517,wavelet-LHH_glcm_SumAverage,0.27139281476762855,0.4178295947718435
370,wavelet-LHH_glcm_JointAverage,0.2713928147676288,0.4178295947718435
509,wavelet-HHL_glszm_ZonePercentage,0.27523398132465376,-0.444249157725657
136,wavelet-HHL_gldm_SmallDependenceEmphasis,0.28138938767939026,-0.4562407393989046
268,wavelet-HLL_ngtdm_Busyness,0.28227032276928654,-0.49251484371315196
8,wavelet-HHL_glcm_ClusterShade,0.2854704769560573,0.9102550906678123
12,wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.2941132914153337,0.41545199388740517
165,wavelet-LHL_ngtdm_Contrast,0.2974925411670656,-0.4579019274336813
542,wavelet-HHL_glcm_DifferenceAverage,0.3007738925656666,-0.4672231040533825
238,wavelet-HLH_glcm_Contrast,0.3038963272851697,-1.920529196839304
33,wavelet-LHH_glcm_Contrast,0.3078142463396812,-1.3458460577165026
91,wavelet-LLH_glrlm_RunLengthNonUniformity,0.308568206085129,0.40312166028369023
337,wavelet-HLL_glcm_Correlation,0.310491404578702,0.4073475135670019
338,wavelet-HHL_glcm_Idm,0.3130349788310928,0.4298546882049754
117,wavelet-HHL_glcm_Id,0.31335245747892376,0.43528241347673485
426,wavelet-HHL_glcm_JointEnergy,0.31377166153564073,0.36540932514794733
39,wavelet-HLH_glcm_JointEnergy,0.314123979307575,1.7145514289347021
211,wavelet-HLL_glrlm_RunLengthNonUniformity,0.3161743868583816,0.3954568246844888
490,wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,0.3167531083932441,0.46584413273470876
547,wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,0.31824605664011024,-0.5090072405170403
240,wavelet-LHL_gldm_LargeDependenceEmphasis,0.32525455667897163,0.40902228657669903
356,wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.3257971481943354,0.41302422459184585
456,wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.3276574843894694,-0.44973648890118917
345,wavelet-LHL_glcm_Idm,0.3292823849545044,0.3811799826978896
85,wavelet-HLL_ngtdm_Coarseness,0.3300332069468185,-0.6621146535361898
582,wavelet-LHL_glcm_Id,0.330743858460644,0.37908783729180806
42,wavelet-HLL_glrlm_GrayLevelVariance,0.3308489395948652,0.7028822038949009
315,wavelet-HHL_glcm_MCC,0.33356035145544033,-0.4861033777180039
535,wavelet-HHL_glrlm_GrayLevelVariance,0.334136794714928,-0.4168655476322225
331,wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.33612834959566573,0.3999182972213135
234,wavelet-LLH_glszm_ZoneEntropy,0.33705430378814855,0.5654633157716745
248,wavelet-HHL_glcm_Contrast,0.3371938654859308,-0.45302928770772416
401,wavelet-HHL_gldm_LargeDependenceEmphasis,0.33872198671734577,0.44462266705409054
494,wavelet-HHL_gldm_DependenceEntropy,0.3396244731940168,-0.5354643872091548
366,wavelet-HHL_ngtdm_Coarseness,0.3398479380126034,-0.6915020682502805
355,wavelet-LLH_glrlm_ShortRunEmphasis,0.3437134110819432,0.43850076264527976
156,wavelet-LHL_glrlm_RunPercentage,0.3467925173374624,-0.4288464923614669
563,wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.3474743124062668,0.4282247958471002
471,wavelet-HLH_glcm_DifferenceAverage,0.34765377096277683,-0.7432541338713781
520,wavelet-LHH_glcm_Idn,0.3495007724887981,0.45856811916000684
417,wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.35038630632649703,-0.41434812238817015
241,wavelet-LLL_gldm_DependenceEntropy,0.35042089924401,0.3831827598286945
462,wavelet-HHL_glcm_DifferenceVariance,0.35087508980043147,-0.41522221056417724
553,wavelet-LLH_glszm_GrayLevelVariance,0.3514504481050621,0.37423521998761733
115,wavelet-LHH_glszm_SmallAreaEmphasis,0.3515863549938114,0.3388159476479727
270,wavelet-HHL_glcm_SumSquares,0.3532953705296602,-0.4253063099029228
329,wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.35367826195471663,0.3682505312158295
1,wavelet-LHL_glcm_Idmn,0.3541598315171951,0.43317101693270177
23,wavelet-HHL_glrlm_RunPercentage,0.3551283030629344,-0.45091152888054015
130,wavelet-LHH_glcm_DifferenceAverage,0.3564841477088414,-0.6410219160338679
452,wavelet-HHL_glcm_JointEntropy,0.358710389375545,-0.4151135434536369
41,wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,0.35882600650653285,-0.43119468139662265
438,wavelet-HHL_glcm_DifferenceEntropy,0.35917371191171865,-0.46441383292385996
381,wavelet-HLL_glcm_ClusterTendency,0.35949877360984706,0.418273818499348
399,wavelet-LHL_glcm_DifferenceVariance,0.3603389474678915,-0.4487806979022084
107,wavelet-LLL_ngtdm_Complexity,0.36114535470394493,0.4422332415878531
480,wavelet-HHL_gldm_GrayLevelVariance,0.36174258083793953,-0.4167823797437682
123,wavelet-LLH_glrlm_RunPercentage,0.36235393554852013,0.3731653845560366
27,wavelet-LHL_glcm_DifferenceEntropy,0.36369786855063324,-0.4634636583350895
